iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg,umd_tree_cover_loss_from_fires__ha,国家,大洲
URY,2001,7647.452723,1749314.749,329.7433863,乌拉圭,南美洲
USA,2001,1943318.744,622169484.3,308757.3554,美国,北美洲
UZB,2001,294.820902,66760.11202,74.23551106,乌兹别克斯坦,亚洲
VCT,2001,6.896545779,3432.118951,0.075027145,圣文森特和格林纳丁斯,北美洲
VEN,2001,123881.1441,50367335.83,16571.75368,委内瑞拉,南美洲
VGB,2001,4.092501168,1601.158512,0.219250435,英属维尔京群岛,北美州
VIR,2001,122.5133707,45290.39945,2.347505886,美属维尔京群岛,北美洲
VNM,2001,47433.13018,23021538.75,738.9193086,越南,亚洲
VUT,2001,124.3332979,70389.41171,1.329722162,瓦努阿图,大洋洲
XAD,2001,1.648989262,382.7123224,0.190614644,阿克罗提利与德凯利亚,欧洲
XCA,2001,9.735251157,352.2385459,0.989772081,,
XKO,2001,1122.205429,444640.9008,110.4344109,科索沃,欧洲
XNC,2001,17.66158322,4908.941633,0.378227853,北塞浦路斯,欧洲
ZAF,2001,77644.6906,37428338.44,2357.811575,南非,非洲
ZMB,2001,30123.7271,12200217.47,75.71984941,赞比亚,非洲
ZWE,2001,8205.934185,3098888.094,25.70660289,津巴布韦,非洲
ABW,2002,0.526107732,27.98871114,0.150316363,阿鲁巴,南美洲
AFG,2002,178.6403638,38859.82547,96.30441154,阿富汗,亚洲
AGO,2002,61034.22727,20299187.04,626.4541231,安哥拉,非洲
AIA,2002,0.146329651,29.61057526,0,安圭拉,北美洲
ALA,2002,277.8198771,55005.40652,2.77376821,奥兰群岛,欧洲
ALB,2002,889.5171155,338698.0114,148.7740739,阿尔巴尼亚,欧洲
AND,2002,1.255022224,507.4926269,0.056952716,安道尔,欧洲
ARG,2002,105001.8622,25377671.38,7442.039892,阿根廷,南美洲
ARM,2002,172.5385912,51702.62749,35.57348758,亚美尼亚,亚洲
ATG,2002,17.65604165,5276.164718,0.734584058,安提瓜和巴布达,北美洲
AUS,2002,312150.1627,36670865.83,235574.3467,澳大利亚,大洋洲
AUT,2002,10902.14988,4486380.052,216.633921,奥地利,欧洲
AZE,2002,1154.205943,285679.3485,91.16603878,阿塞拜疆,亚洲
BDI,2002,986.9362126,312855.442,0.998039533,布隆迪,非洲
BEL,2002,2348.390596,1088407.001,59.77918097,比利时,欧洲
BEN,2002,3480.187346,970534.211,7.175379077,贝宁,非洲
BES,2002,2.106457457,576.22501,0,博内尔、圣尤斯特歇斯和萨巴,南美洲
BFA,2002,4.3029109,146834.345,0,布基纳法索,非洲
BGD,2002,3995.287574,1924878.799,50.31124424,孟加拉国,亚洲
BGR,2002,4638.738812,1278743.273,736.321573,保加利亚,欧洲
BHS,2002,700.9761365,197148.01,220.8943276,巴哈马,北美洲
BIH,2002,692.6588558,267085.0897,80.55569215,波斯尼亚和黑塞哥维那,欧洲
BLR,2002,25383.4157,6914767.28,1371.844915,白俄罗斯,欧洲
BLZ,2002,13473.73051,6185804.111,2518.019459,伯利兹,北美洲
BMU,2002,0.717959402,206.1176439,0,百慕大,北美州
BOL,2002,178807.9712,79888221.05,17023.86769,玻利维亚,南美洲
BRA,2002,3507049.44,1624101190,179608.7586,巴西,南美洲
BRB,2002,11.39198156,3343.753575,0.299789799,巴巴多斯,北美洲
BRN,2002,1088.845597,664729.5703,46.46637941,文莱,亚洲
BTN,2002,223.9348815,122483.8388,19.24491566,不丹,亚洲
BWA,2002,22.78899863,3893.76859,0.073335151,博茨瓦纳,非洲
CAF,2002,34417.72161,15614935.57,349.6383671,中非共和国,非洲
CAN,2002,2316887.665,838727146.3,1316753.789,加拿大,北美洲
CHE,2002,881.3039027,409052.0213,21.68550407,瑞士,欧洲
CHL,2002,78080.97298,23258513.86,10400.28306,智利,南美洲
CHN,2002,249150.9601,95736746.08,38670.85088,中国,亚洲
CIV,2002,144559.9075,55683832.07,354.3374436,科特迪瓦,非洲
CMR,2002,28766.95157,14836148.57,72.78535809,喀麦隆,非洲
COD,2002,514476.6882,278817380.5,4150.739093,刚果民主共和国,非洲
COG,2002,24310.14238,12543812.36,315.1394661,刚果共和国,非洲
COL,2002,182229.1524,96378010.31,8258.484205,哥伦比亚,南美洲
COM,2002,41.20393423,22498.36622,1.355535033,科摩罗,非洲
CPV,2002,22.8340031,0,2.752525348,佛得角,非洲
CRI,2002,13289.14909,6188298.145,400.4261215,哥斯达黎加,北美洲
CUB,2002,15035.84738,4104675.386,5908.662199,古巴,北美洲
CUW,2002,1.279283688,326.7395321,0.150515936,库拉索,南美洲
CYM,2002,5.598244417,1503.891342,0,开曼群岛,北美州
CYP,2002,31.74324402,7055.835847,5.010473122,塞浦路斯,欧洲
CZE,2002,6766.437908,2734314.749,52.23241467,捷克共和国,欧洲
DEU,2002,15303.26237,6466765.744,261.2812385,德国,欧洲
DMA,2002,11.87470804,6881.684978,0.370929393,多米尼克,北美洲
DNK,2002,1204.489939,292171.777,10.0827367,丹麦,欧洲
DOM,2002,10435.97987,3792629.741,444.7443285,多米尼加共和国,北美洲
DZA,2002,3009.833121,739994.1409,1618.310178,阿尔及利亚,非洲
ECU,2002,29817.73772,17772196.96,2006.557403,厄瓜多尔,南美洲
EGY,2002,48.81325058,16606.65684,8.336098984,埃及,非洲
ERI,2002,0,309.4623494,0,厄立特里亚,非洲
ESP,2002,37699.01981,10714843.22,8026.917983,西班牙,欧洲
EST,2002,21918.38645,4949270.3,237.0953378,爱沙尼亚,欧洲
ETH,2002,13074.08741,5485488.338,29.26710768,埃塞俄比亚,非洲
FIN,2002,142432.404,26698221.21,1427.026502,芬兰,欧洲
FJI,2002,703.2099391,352917.8844,15.62773043,斐济,大洋洲
FRA,2002,33888.39717,12829281,1917.373592,法国,欧洲
GAB,2002,13851.84666,7917484.151,167.8661037,加蓬,非洲
GBR,2002,20112.34996,7436889.22,2165.052919,英国,欧洲
GEO,2002,536.442198,191400.3692,53.11575094,格鲁吉亚,亚洲
GGY,2002,0.050347617,8.846886737,0,根西岛,欧洲
GHA,2002,78395.05298,32750503.13,172.980971,加纳,非洲
GIB,2002,0.12482941,17.75154251,0.062414607,直布罗陀,欧洲
GIN,2002,28933.47429,10752936.28,69.48497528,几内亚,非洲
GLP,2002,50.88541896,19359.55075,0.739384401,瓜德罗普,北美洲
GMB,2002,40.15764074,22130.03031,0,冈比亚,非洲
GNB,2002,6073.797259,1838772.537,7.91913388,几内亚比绍,非洲
GNQ,2002,2986.110544,1855232.648,7.61067024,赤道几内亚,非洲
GRC,2002,5126.049313,1138251.016,843.2089187,希腊,欧洲
GRD,2002,65.83774686,34162.84441,0.526710188,格林纳达,北美洲
GTM,2002,55600.93461,23456703.34,7292.703433,危地马拉,北美洲
GUF,2002,2496.703749,1874368.607,149.4990722,法属圭亚那,南美洲
GUY,2002,4827.394979,3054603.466,245.9562774,圭亚那,南美洲
HKG,2002,15.61155641,6710.466057,0.285158956,中国香港,亚洲
HND,2002,31528.01233,13520359.91,2567.266843,洪都拉斯,北美洲
HRV,2002,2340.179492,785186.7889,394.3790882,克罗地亚,欧洲
HTI,2002,2120.380505,698723.5986,65.20124113,海地,北美洲
HUN,2002,7711.03737,2689525.648,116.4876441,匈牙利,欧洲
IDN,2002,855275.863,628290349.4,83504.6812,印度尼西亚,亚洲
IMN,2002,13.6648598,3495.001407,2.406950001,马恩岛,欧洲
IND,2002,53005.48774,25903413.63,987.810816,印度,亚洲
IRL,2002,5298.280939,2209032.16,207.1004272,爱尔兰,欧洲
IRN,2002,557.752371,133165.1266,82.90221544,伊朗,亚洲
IRQ,2002,10.62006031,2203.949781,5.206038381,伊拉克,亚洲
ISR,2002,111.7306785,26862.20607,3.930704555,以色列,亚洲
ITA,2002,10931.22755,2994848.347,872.1062472,意大利,欧洲
JAM,2002,1647.570637,754938.86,67.29600896,牙买加,北美洲
JEY,2002,0.810373894,224.1842068,0.05067742,泽西岛,欧洲
JOR,2002,0.196107558,54.12785949,0,约旦,亚洲
JPN,2002,26154.03983,9960965.619,958.7046658,日本,亚洲
KAZ,2002,2952.306624,709559.5046,648.9006827,哈萨克斯坦,亚洲
KEN,2002,20287.52622,10056533.34,31.44333162,肯尼亚,非洲
KGZ,2002,305.4574798,65886.75864,117.3734661,吉尔吉斯斯坦,亚洲
KHM,2002,54862.0762,27529476.39,823.5455333,柬埔寨,亚洲
KNA,2002,19.79075058,7520.772354,1.176962724,圣基茨和尼维斯,北美洲
KOR,2002,4705.326872,1175202.529,921.8269266,韩国,亚洲
LAO,2002,55936.73071,27825149.97,232.2871598,老挝,亚洲
LBN,2002,81.20045904,19382.62697,3.97260689,黎巴嫩,亚洲
LBR,2002,56984.42382,26648464.86,430.1457631,利比里亚,非洲
LBY,2002,40.24566353,6062.424883,27.84336473,利比亚,非洲
LCA,2002,10.91096809,5621.3752,2.01793292,圣卢西亚,北美洲
LKA,2002,3427.680386,1228143.064,83.19362305,斯里兰卡,亚洲
LSO,2002,2.687139564,899.2581193,0,莱索托,非洲
LTU,2002,10344.83819,2721769.751,25.21545949,立陶宛,欧洲
LUX,2002,90.45691516,43326.76579,1.552086117,卢森堡,欧洲
LVA,2002,29175.98819,7448035.555,127.0004369,拉脱维亚,欧洲
MAC,2002,0.928207381,0,0,中国澳门,亚洲
MAF,2002,5.418846674,1921.328034,0,圣马丁岛,南美洲
MAR,2002,3923.517827,1091663.905,927.9645903,摩洛哥,非洲
MDA,2002,229.7964207,61971.96126,15.98765391,摩尔多瓦,欧洲
MDG,2002,89317.51419,42899565.86,3907.775184,马达加斯加,非洲
MDV,2002,4.588154946,129.6427223,0,马尔代夫,亚洲
MEX,2002,158834.1254,51607513.27,13793.09424,墨西哥,北美洲
MKD,2002,890.1837635,282976.7957,59.81052528,马其顿,欧洲
MLI,2002,175.2904428,67907.0829,0.149641421,马里,非洲
MLT,2002,1.752961399,410.6095305,0.250098171,马耳他,欧洲
MMR,2002,66119.68071,33347158.37,1072.490992,缅甸,亚洲
MNE,2002,179.6207712,73886.12418,16.16363117,黑山,欧洲
MNG,2002,18728.01995,4761637.371,13915.66557,蒙古,亚洲
MOZ,2002,106658.3376,33465970.93,463.7073173,莫桑比克,非洲
MSR,2002,1.62272987,843.0248009,0,蒙塞拉特,北美洲
MTQ,2002,48.86224871,23533.11412,0.521550951,马提尼克,北美洲
MUS,2002,154.4299605,77533.47698,0,毛里求斯,非洲
MWI,2002,4189.572628,1688758.734,7.453163842,马拉维,非洲
MYS,2002,312553.7873,144023969.1,5412.993297,马来西亚,亚洲
MYT,2002,20.86919036,10937.57911,0.150136343,马约特,非洲
NAM,2002,108.0072182,23738.22704,1.980552373,纳米比亚,非洲
NCL,2002,626.8680588,238070.9224,93.66368237,新喀里多尼亚,大洋洲
NER,2002,0.676416444,124.759059,0,尼日尔,非洲
NGA,2002,32346.71006,11546192.3,58.63066767,尼日利亚,非洲
NIC,2002,54194.49469,26924555.23,642.1322969,尼加拉瓜,北美洲
NLD,2002,824.5813586,286726.0111,26.3864452,荷兰,欧洲
NOR,2002,26635.75319,5538400.652,907.2046102,挪威,欧洲
NPL,2002,2128.64331,1183634.575,333.5069084,尼泊尔,亚洲
NZL,2002,63227.9271,27443195.72,1003.347281,新西兰,大洋洲
PAK,2002,325.0117524,113491.2836,144.9523552,巴基斯坦,亚洲
PAN,2002,19200.13718,9473606.079,800.1925364,巴拿马,北美洲
PER,2002,80452.08582,49128368.54,3958.57407,秘鲁,南美洲
PHL,2002,32309.18926,17539558.48,488.3216298,菲律宾,亚洲
PLW,2002,75.30077104,57681.50494,2.212255787,帕劳,大洋洲
PNG,2002,54575.5022,38265772.1,2023.995502,巴布亚新几内亚,大洋洲
POL,2002,31070.13979,9241773.335,237.4053098,波兰,欧洲
PRI,2002,1168.095778,491603.8993,10.46444618,波多黎各,北美洲
PRK,2002,5358.227207,1253443.893,1799.160569,朝鲜,亚洲
PRT,2002,34903.34915,8756077.224,8453.405651,葡萄牙,欧洲
PRY,2002,195124.6398,50509117.24,17721.73212,巴拉圭,南美洲
PSE,2002,1.830287115,383.7099218,0.71924995,巴勒斯坦,亚洲
REU,2002,502.6683752,213660.7243,0,留尼汪,非洲
ROU,2002,16356.44545,6630173.989,372.589031,罗马尼亚,欧洲
RUS,2002,2700384.154,359386615.4,1998379.749,俄罗斯,欧洲
RWA,2002,941.338718,323764.3341,0.92278693,卢旺达,非洲
SDN,2002,76.10035582,19621.39429,0.529563453,苏丹,非洲
SEN,2002,164.4305544,93460.45799,0,塞内加尔,非洲
SGP,2002,123.516999,44666.05365,0.153818089,新加坡,亚洲
SLB,2002,3866.106668,2886008.388,53.49018096,所罗门群岛,大洋洲
SLE,2002,15310.24197,5384391.598,103.0555193,塞拉利昂,非洲
SLV,2002,4666.509817,1773630.609,197.9461479,萨尔瓦多,北美洲
SMR,2002,0.111479129,20.58133285,0,圣马力诺,欧洲
SOM,2002,250.8913304,53579.31082,1.221240744,索马里,非洲
SPM,2002,0.105856563,3.082851642,0.052819903,圣皮埃尔和密克隆,北美洲
SRB,2002,1134.989088,447296.5229,77.77735724,塞尔维亚,欧洲
SSD,2002,8148.679824,1980811.731,73.4556225,南苏丹,非洲
SUR,2002,3717.477562,2697484.576,324.3316147,苏里南,南美洲
SVK,2002,4015.732505,1737594.639,52.51125706,斯洛伐克,欧洲
SVN,2002,723.8725078,307585.849,35.61267569,斯洛文尼亚,欧洲
SWE,2002,178264.0808,34394080.64,1452.643143,瑞典,欧洲
SWZ,2002,3800.765838,2297033.324,18.21190928,斯威士兰,非洲
SXM,2002,0.439427723,118.5065267,0,荷属圣马丁,北美洲
